Team,Player,Position,On_start,Points_Average,Last_5_games_points,J_Actual,J_1,J_2,J_3,J_4,Avg_last_5_games,Value,Squad_Average_Points,J_Actual_Squad_Points,J_1_Squad_Points,J_2_Squad_Points,J_3_Squad_Points,J_4_Squad_Points,Squad_Avg_last_5_Games,Value_Squad,vs,Vs_Team,Vs_Squad_Average_Points,J_Actual_Vs_Squad_Points,J_1_Vs_Squad_Points,J_2_Vs_Squad_Points,J_3_Vs_Squad_Points,J_4_Vs_Squad_Points,Vs_Squad_Avg_last_5_Games,Vs_Value_Squad,Team_clas,Vs_Team_clas,Target
Athletic,Unai Simón,PT,100,6.5,"['8', '5', 0, 0, 0]",8,5,0,0,0,2.6,4220000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,8.0
Athletic,Agirrezabala,PT,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,440000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,0.0
Athletic,Ander Iru,PT,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,410000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,0.0
Athletic,De Marcos,DF,100,7.0,"['8', '6', 0, 0, 0]",8,6,0,0,0,2.8,2840000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,6.0
Athletic,Yeray Álvarez,DF,100,7.0,"['6', '8', 0, 0, 0]",6,8,0,0,0,2.8,3930000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,7.0
Athletic,Yuri Berchiche,DF,100,7.0,"['7', '7', 0, 0, 0]",7,7,0,0,0,2.8,4270000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,8.0
Athletic,Daniel Vivian,DF,100,4.5,"['5', '4', 0, 0, 0]",5,4,0,0,0,1.8,2470000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,5.0
Athletic,Capa,DF,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,750000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,0.0
Athletic,Lekue,DF,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,700000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,0.0
Athletic,Nolaskoain,DF,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,240000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,
Athletic,Iñigo Martínez,DF,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,5410000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,0.0
Athletic,Balenziaga,DF,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,310000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,0.0
Athletic,Álex Berenguer,MD,100,7.5,"['4', '11', 0, 0, 0]",4,11,0,0,0,3.0,4480000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,4.0
Athletic,Mikel Vesga,MD,100,6.0,"['7', '5', 0, 0, 0]",7,5,0,0,0,2.4,2000000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,7.0
Athletic,Muniain,MD,100,5.5,"['3', '8', 0, 0, 0]",3,8,0,0,0,2.2,12730000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,3.0
Athletic,Nico Williams,MD,50,4.0,"['6', '2', 0, 0, 0]",6,2,0,0,0,1.6,5860000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,6.0
Athletic,Zarraga,MD,0,2.0,"['2', '2', 0, 0, 0]",2,2,0,0,0,0.8,1000000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,2.0
Athletic,Unai Vencedor,MD,0,2.0,"['-', '2', 0, 0, 0]",0,2,0,0,0,0.4,2190000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,0.0
Athletic,Malcom Adu,MD,0,0.0,"['2', '-', 0, 0, 0]",2,0,0,0,0,0.4,410000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,2.0
Athletic,Dani García,MD,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,1090000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,0.0
Athletic,Jon Morcillo,MD,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,310000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,0.0
Athletic,Williams,DL,100,4.0,"['5', '3', 0, 0, 0]",5,3,0,0,0,1.6,9460000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,5.0
Athletic,Raúl García,DL,0,3.5,"['4', '3', 0, 0, 0]",4,3,0,0,0,1.4,2810000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,
Athletic,Sancet,DL,100,2.5,"['2', '3', 0, 0, 0]",2,3,0,0,0,1.0,4480000,69.0,69,69,0,0,0,27.6,72810000,Cádiz,Cádiz,43.5,51,30,0,0,0,16.2,29430000,7,19,2.0
Atlético,Oblak,PT,100,4.5,"['6', '3', 0, 0, 0]",6,3,0,0,0,1.8,6330000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,6.0
Atlético,Ivo Grbic,PT,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,360000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,0.0
Atlético,Savic,DF,100,5.0,"['8', '2', 0, 0, 0]",8,2,0,0,0,2.0,5170000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,8.0
Atlético,Reinildo Mandava,DF,100,4.5,"['5', '4', 0, 0, 0]",5,4,0,0,0,1.8,5110000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,5.0
Atlético,José Giménez,DF,0,2.0,"['-', '2', 0, 0, 0]",0,2,0,0,0,0.4,4310000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,0.0
Atlético,Nahuel Molina,DF,100,0.5,"['5', '-4', 0, 0, 0]",5,-4,0,0,0,0.2,8290000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,5.0
Atlético,Mario Hermoso,DF,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,1110000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,0.0
Atlético,Felipe,DF,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,1030000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,0.0
Atlético,Renan Lodi,DF,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,1090000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,
Atlético,Koke,MD,100,5.0,"['4', '6', 0, 0, 0]",4,6,0,0,0,2.0,5620000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,4.0
Atlético,Lemar,MD,100,4.0,"['5', '3', 0, 0, 0]",5,3,0,0,0,1.6,5160000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,4.0
Atlético,Ferreira Carrasco,MD,50,4.0,"['4', '4', 0, 0, 0]",4,4,0,0,0,1.6,8650000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,5.0
Atlético,Rodrigo de Paul,MD,0,4.0,"['4', '4', 0, 0, 0]",4,4,0,0,0,1.6,5220000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,4.0
Atlético,Witsel,MD,100,4.0,"['4', '4', 0, 0, 0]",4,4,0,0,0,1.6,6520000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,4.0
Atlético,Marcos Llorente,MD,100,3.5,"['4', '3', 0, 0, 0]",4,3,0,0,0,1.4,8370000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,4.0
Atlético,Saúl Ñíguez,MD,50,5.0,"['5', '-', 0, 0, 0]",5,0,0,0,0,1.0,3750000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,5.0
Atlético,Kondogbia,MD,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,3080000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,0.0
Atlético,Carlos Martín,MD,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,180000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,0.0
Atlético,Javi Serrano,MD,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,230000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,
Atlético,Morata,DL,100,11.5,"['16', '7', 0, 0, 0]",16,7,0,0,0,4.6,15070000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,16.0
Atlético,João Félix,DL,100,9.0,"['13', '5', 0, 0, 0]",13,5,0,0,0,3.6,16240000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,13.0
Atlético,Griezmann,DL,0,8.0,"['12', '4', 0, 0, 0]",12,4,0,0,0,3.2,13370000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,12.0
Atlético,Correa,DL,0,3.0,"['2', '4', 0, 0, 0]",2,4,0,0,0,1.2,7400000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,2.0
Atlético,Matheus Cunha,DL,0,1.5,"['4', '-1', 0, 0, 0]",4,-1,0,0,0,0.6,6210000,79.0,101,50,0,0,0,30.2,137870000,Valencia,Valencia,52.0,52,46,0,0,0,19.6,66820000,8,10,4.0
Osasuna,Sergio Herrera,PT,100,5.0,"['4', '6', 0, 0, 0]",4,6,0,0,0,2.0,4280000,76.0,63,81,0,0,0,28.8,57930000,Betis,Betis,51.0,68,36,0,0,0,20.8,53780000,4,3,4.0
Osasuna,Juan Pérez,PT,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,170000,76.0,63,81,0,0,0,28.8,57930000,Betis,Betis,51.0,68,36,0,0,0,20.8,53780000,4,3,0.0
Osasuna,Aitor Fernández,PT,0,0.0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,1040000,76.0,63,81,0,0,0,28.8,57930000,Betis,Betis,51.0,68,36,0,0,0,20.8,53780000,4,3,0.0
