Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
15,Cádiz CF,Jeremías Ledesma,PT,3,100,0,0,15,5,"['10', '0', '5', 0, 0]",10,0,5,0,0,3.0,3740000
15,Cádiz CF,David Gil,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,190000
15,Cádiz CF,Luis Hernández,DF,3,100,0,0,15,5,"['8', '6', '1', 0, 0]",8,6,1,0,0,3.0,3080000
15,Cádiz CF,Fali,DF,3,100,0,0,11,3.7,"['6', '3', '2', 0, 0]",6,3,2,0,0,2.2,2080000
15,Cádiz CF,Víctor Chust,DF,3,67,0,0,8,2.7,"['5', '1', '2', 0, 0]",5,1,2,0,0,1.6,1330000
15,Cádiz CF,Zaldua,DF,3,100,0,0,7,2.3,"['4', '2', '1', 0, 0]",4,2,1,0,0,1.4,1930000
15,Cádiz CF,Arzamendia,DF,3,67,0,0,4,1.3,"['2', '4', '-1', 0, 0]",2,4,-1,0,0,1.0,620000
15,Cádiz CF,Espino,DF,3,100,0,0,3,1,"['1', '2', '0', 0, 0]",1,2,0,0,0,0.6,3340000
15,Cádiz CF,Cala,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,350000
15,Cádiz CF,Iza Carcelén,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,400000
15,Cádiz CF,Momo Mbaye,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,330000
15,Cádiz CF,José Mari,MD,3,67,0,0,7,2.3,"['1', '3', '3', 0, 0]",1,3,3,0,0,1.4,920000
15,Cádiz CF,Awer Mabil,MD,3,33,0,0,6,2,"['4', '2', '0', 0, 0]",4,2,0,0,0,1.2,1750000
15,Cádiz CF,Fede San Emeterio,MD,2,0,0,0,5,2.5,"['-', '4', '1', 0, 0]",0,4,1,0,0,1.0,640000
15,Cádiz CF,Mamady Diarra,MD,2,33,0,0,4,2,"['2', '2', '-', 0, 0]",2,2,0,0,0,0.8,360000
15,Cádiz CF,Tomás Alarcón,MD,1,33,0,0,3,1.5,"['2', '2', '-1', 0, 0]",2,2,-1,0,0,0.6,690000
15,Cádiz CF,Iván Alejo,MD,1,33,0,0,3,1,"['4', '-1', '-', 0, 0]",4,-1,0,0,0,0.6,720000
15,Cádiz CF,Alberto Perea,MD,2,33,0,0,2,2,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4,540000
15,Cádiz CF,Álex Fernández,MD,1,0,0,0,2,2,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4,1880000
15,Cádiz CF,Antonio Blanco,MD,0,33,0,0,1,1,"['-', '-', '1', 0, 0]",0,0,1,0,0,0.2,1050000
15,Cádiz CF,Brian Ocampo,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,720000
15,Cádiz CF,Álvaro Bastida,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,240000
15,Cádiz CF,Martín Calderón,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,240000
15,Cádiz CF,Rubén Alcaraz,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,2590000
15,Cádiz CF,Jon Ander Garrido,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,200000
15,Cádiz CF,Pombo,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,280000
15,Cádiz CF,Bongonda,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1930000
15,Cádiz CF,Negredo,DL,0,33,0,0,9,3,"['2', '2', '5', 0, 0]",2,2,5,0,0,1.8,3470000
