Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
19,RC Celta de Vigo,Marchesin,PT,3,100,0,0,11,3.7,"['0', '3', '8', 0, 0]",0,3,8,0,0,2.2,3130000
19,RC Celta de Vigo,Iván Villar,PT,3,0,3,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,330000
19,RC Celta de Vigo,Unai Núñez,DF,3,100,0,0,12,4,"['3', '1', '8', 0, 0]",3,1,8,0,0,2.4,2960000
19,RC Celta de Vigo,Aidoo,DF,3,100,0,1,9,3,"['2', '2', '5', 0, 0]",2,2,5,0,0,1.8,2410000
19,RC Celta de Vigo,Hugo Mallo,DF,3,100,0,0,8,2.7,"['4', '0', '4', 0, 0]",4,0,4,0,0,1.6,3010000
19,RC Celta de Vigo,Javi Galán,DF,3,100,0,0,7,2.3,"['3', '2', '2', 0, 0]",3,2,2,0,0,1.4,5100000
19,RC Celta de Vigo,Carlos Domínguez,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,270000
19,RC Celta de Vigo,Kevin Vázquez,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,460000
19,RC Celta de Vigo,Mingueza,DF,3,0,0,0,-4,-4,"['-4', '-', '-', 0, 0]",-4,0,0,0,0,-0.8,1390000
19,RC Celta de Vigo,Óscar Rodríguez,MD,3,100,0,0,15,5,"['5', '4', '6', 0, 0]",5,4,6,0,0,3.0,5850000
19,RC Celta de Vigo,Renato Tapia,MD,3,67,1,0,12,4,"['4', '2', '6', 0, 0]",4,2,6,0,0,2.4,790000
19,RC Celta de Vigo,Franco Cervi,MD,3,100,0,1,11,3.7,"['4', '3', '4', 0, 0]",4,3,4,0,0,2.2,3230000
19,RC Celta de Vigo,Carles Pérez,MD,2,33,0,1,11,3.7,"['1', '3', '7', 0, 0]",1,3,7,0,0,2.2,2600000
19,RC Celta de Vigo,Fran Beltrán,MD,3,100,0,0,10,3.3,"['2', '4', '4', 0, 0]",2,4,4,0,0,2.0,3330000
19,RC Celta de Vigo,Gabriel Veiga,MD,1,0,0,0,5,1.7,"['3', '-', '2', 0, 0]",3,0,2,0,0,1.0,450000
19,RC Celta de Vigo,Augusto Solari,MD,1,33,0,0,5,2.5,"['1', '2', '2', 0, 0]",1,2,2,0,0,1.0,830000
19,RC Celta de Vigo,Luca de la Torre,MD,1,0,0,0,2,2,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4,1220000
19,RC Celta de Vigo,Denis Suárez,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,3270000
19,RC Celta de Vigo,Hugo Álvarez,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,210000
19,RC Celta de Vigo,Miguel Baeza,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,300000
19,RC Celta de Vigo,Swedberg,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1460000
19,RC Celta de Vigo,Iago Aspas,DL,0,100,0,0,30,10,"['10', '10', '10', 0, 0]",10,10,10,0,0,6.0,23490000
19,RC Celta de Vigo,Gonzalo Paciencia,DL,0,67,0,0,13,4.3,"['9', '2', '2', 0, 0]",9,2,2,0,0,2.6,6650000
