Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_31,J_32,J_33,J_34,J_35,Avg_last_5_games
6,Getafe CF,David Soria,PT,158,4.5,3090000,100,"['2', '7', '-2', '10', '6']",2,7,-2,10,6,4.6
6,Getafe CF,Diego Conde,PT,2,2,220000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Rubén Yáñez,PT,0,0,210000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Mathías Olivera,DF,142,4.7,4090000,86,"['6', '2', '9', '7', '6']",6,2,9,7,6,6.0
6,Getafe CF,Damián Suárez,DF,132,4.1,3340000,86,"['5', '4', '2', '2', '2']",5,4,2,2,2,3.0
6,Getafe CF,Djené,DF,107,3.3,1780000,91,"['-', '5', '5', '5', '5']",0,5,5,5,5,4.0
6,Getafe CF,Mitrovic,DF,99,3.3,1400000,83,"['1', '4', '2', '2', '-']",1,4,2,2,0,1.8
6,Getafe CF,Jorge Cuenca,DF,95,3.3,1730000,80,"['2', '5', '3', '-', '5']",2,5,3,0,5,3.0
6,Getafe CF,Juan Iglesias,DF,49,2.7,420000,14,"['2', '-', '-', '-', '4']",2,0,0,0,4,1.2
6,Getafe CF,Cabaco,DF,19,1.9,320000,14,"['0', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Jonathan Silva,DF,13,1.4,400000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Kofi,DF,5,2.5,260000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Gastón Álvarez,DF,0,0,260000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Mauro Arambarri,MD,136,4.9,4000000,80,"['4', '3', '8', '4', '4']",4,3,8,4,4,4.6
6,Getafe CF,Maksimovic,MD,135,4.2,3250000,91,"['1', '-', '15', '5', '4']",1,0,15,5,4,5.0
6,Getafe CF,Óscar Rodríguez,MD,93,3.6,3050000,34,"['5', '9', '-', '5', '7']",5,9,0,5,7,5.2
6,Getafe CF,Aleñá,MD,88,2.8,1510000,80,"['1', '-', '2', '4', '4']",1,0,2,4,4,2.2
6,Getafe CF,Florentino Luís,MD,56,2.8,650000,23,"['-', '3', '-', '-', '5']",0,3,0,0,5,1.6
6,Getafe CF,Okay Yokuslu,MD,52,3.3,870000,14,"['-', '-', '2', '6', '7']",0,0,2,6,7,3.0
6,Getafe CF,Gonzalo Villar,MD,29,3.6,1060000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Jankto,MD,30,2.3,450000,14,"['1', '-', '-', '-', '2']",1,0,0,0,2,0.6
6,Getafe CF,Vitolo,MD,16,2.3,540000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Sabit Abdulai,MD,0,0,200000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,John Patrick,MD,0,0,230000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Enes Ünal,DL,202,5.9,9370000,86,"['10', '6', '8', '4', '2']",10,6,8,4,2,6.0
6,Getafe CF,Sandro Ramírez,DL,89,3.4,2160000,54,"['4', '-', '10', '5', '-']",4,0,10,5,0,3.8
6,Getafe CF,Borja Mayoral,DL,84,5.6,6470000,23,"['3', '17', '10', '4', '3']",3,17,10,4,3,7.4
6,Getafe CF,Jaime Mata,DL,56,2.5,700000,11,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4
